id,name,slug,party_key,party_label,chamber,constituency,photo_url,source_url,active,review_status
sen-paduraru-raducu-adrian,PĂDURARU Răducu-Adrian,paduraru-raducu-adrian,PSD,PSD,Senat,Circumscripţia electorală nr.29 Neamţ,/photos/portraits/sen-paduraru-raducu-adrian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=57a5f4d6-ec10-4020-8424-958ed09fbf37,true,approved
sen-palarie-stefan,PĂLĂRIE Ștefan,palarie-stefan,USR,USR,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-palarie-stefan.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=2a3a96e0-f5d4-4a21-8c10-9606276f5311,true,approved
sen-pasculescu-veta,PĂSCULESCU Veta,pasculescu-veta,PNL,PNL,Senat,Circumscripţia electorală nr.17 Dolj,/photos/portraits/sen-pasculescu-veta.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=b236fa71-a4fe-4ee8-b18e-bed743df11d5,true,approved
sen-paucean-fernandes-luminita,PĂUCEAN-FERNANDES Luminița,paucean-fernandes-luminita,AUR,AUR,Senat,Circumscripţia electorală nr.34 Sibiu,/photos/portraits/sen-paucean-fernandes-luminita.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=2b2ea3f2-756e-46d5-acfe-9a41350b7f34,true,approved
sen-paun-ana-cynthia-ioana,PĂUN Ana-Cynthia-Ioana,paun-ana-cynthia-ioana,USR,USR,Senat,Circumscripţia electorală nr.25 Ilfov,/photos/portraits/sen-paun-ana-cynthia-ioana.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=a5b8a0d4-4710-4730-a171-9b78349041f6,true,approved
sen-peia-ninel,PEIA Ninel,peia-ninel,PACE,PACE,Senat,Circumscripţia electorală nr.31 Prahova,/photos/portraits/sen-peia-ninel.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=007fdd23-b531-407e-a067-9c3796420c8c,true,approved
sen-peiu-grigore-adrian,PEIU Grigore-Adrian,peiu-grigore-adrian,PACE,PACE,Senat,Circumscripţia electorală nr.23 Ialomiţa,/photos/portraits/sen-peiu-grigore-adrian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=8c196354-6157-46a5-8b04-9d394c7b294d,true,approved
sen-peiu-petrisor-gabriel,PEIU Petrișor-Gabriel,peiu-petrisor-gabriel,AUR,AUR,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-peiu-petrisor-gabriel.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=05495ace-0730-44d7-b735-9d97285dccf0,true,approved
sen-petre-george-cezar,PETRE George-Cezar,petre-george-cezar,AUR,AUR,Senat,Circumscripţia electorală nr.30 Olt,/photos/portraits/sen-petre-george-cezar.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=14e542f2-ee04-444e-b539-9e85135da202,true,approved
sen-petrea-dorin-silviu,PETREA Dorin-Silviu,petrea-dorin-silviu,PACE,PACE,Senat,Circumscripţia electorală nr.09 Brăila,/photos/portraits/sen-petrea-dorin-silviu.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e49ef80d-fc0b-4ca7-93ef-9ed3840e012a,true,approved
sen-pintea-paul-ciprian,PINTEA Paul-Ciprian,pintea-paul-ciprian,NEAFILIATI,Neafiliati,Senat,Circumscripţia electorală nr.33 Sălaj,/photos/portraits/sen-pintea-paul-ciprian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=6491a652-0d83-455c-b9a9-a04c0f5194c0,true,approved
sen-plaesu-laurentiu,PLĂEȘU Laurențiu,plaesu-laurentiu,AUR,AUR,Senat,Circumscripţia electorală nr.31 Prahova,/photos/portraits/sen-plaesu-laurentiu.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=4ea5e2f9-cd07-4eb4-912e-a1181cc460b1,true,approved
sen-poteca-vasilica,POTECĂ Vasilică,poteca-vasilica,AUR,AUR,Senat,Circumscripţia electorală nr.22 Hunedoara,/photos/portraits/sen-poteca-vasilica.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=a5a25b95-3452-4d9d-983b-a1c7a033cfcd,true,approved
sen-predoiu-marian-catalin,PREDOIU Marian-Cătălin,predoiu-marian-catalin,PNL,PNL,Senat,Circumscripţia electorală nr.31 Prahova,/photos/portraits/sen-predoiu-marian-catalin.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=979f6165-caa2-4568-abe4-a663a37147fd,true,approved
sen-presura-alexandra,PRESURĂ Alexandra,presura-alexandra,PSD,PSD,Senat,Circumscripţia electorală nr.17 Dolj,/photos/portraits/sen-presura-alexandra.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=95133353-e40c-4398-bbac-a6d14fcdad54,true,approved
sen-puiu-ovidiu,PUIU Ovidiu,puiu-ovidiu,PSD,PSD,Senat,Circumscripţia electorală nr.03 Argeş,/photos/portraits/sen-puiu-ovidiu.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=c4af4b08-ccb8-4323-8fb2-a7272aff2123,true,approved
sen-racuci-claudiu-vasile,RĂCUCI Claudiu-Vasile,racuci-claudiu-vasile,PNL,PNL,Senat,Circumscripţia electorală nr.01 Alba,/photos/portraits/sen-racuci-claudiu-vasile.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=082c21cd-dcdb-42bb-9bfd-a871139cb9c5,true,approved
sen-robe-liviu-sorin,ROBE Liviu Sorin,robe-liviu-sorin,NEAFILIATI,Neafiliati,Senat,Circumscripţia electorală nr.06 Bistriţa-Năsăud,/photos/portraits/sen-robe-liviu-sorin.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=6e681419-5f69-41cd-85ca-acef5eed2a63,true,approved
